Course Code,Course Title,Credits,CRN,Section Type,Time,Days per Week,Instructor,Method,Semester,Year,Time of Day,Duration of Class (minutes)
IE 411,Mechatronics I,0,32261,LEC,04:00 PM - 04:50 PM,2,"Cetinkunt, S",On Campus,Fall,2016,Afternoon,50
IE 411,Mechatronics I,0,32262,LEC,04:00 PM - 04:50 PM,2,"Cetinkunt, S",On Campus,Fall,2016,Afternoon,50
IE 412,Dynamic Systems Analysis I,3,39455,LCD,05:00 PM - 06:15 PM,2,"Cetinkunt, S",On Campus,Fall,2016,Evening,75
IE 412,Dynamic Systems Analysis I,3,39456,LCD,05:00 PM - 06:15 PM,2,"Cetinkunt, S",On Campus,Fall,2016,Evening,75
IE 441,Ergonomics and Human Factors,3,29570,LCD,10:00 AM - 10:50 AM,3,"Williams, Q",On Campus,Fall,2016,Morning,50
IE 441,Ergonomics and Human Factors,3,29571,LCD,10:00 AM - 10:50 AM,3,"Williams, Q",On Campus,Fall,2016,Morning,50
IE 442,Design and Analysis of Experiments in Engineering,0,34405,LCD,12:00 PM - 12:50 PM,3,"Williams, Q",On Campus,Fall,2016,Afternoon,50
IE 442,Design and Analysis of Experiments in Engineering,0,40274,LCD,12:00 PM - 12:50 PM,3,"Williams, Q",On Campus,Fall,2016,Afternoon,50
IE 444,Interdisciplinary Product Development I,3,28573,LCD,ARRANGED,0,"Scott, M",On Campus,Fall,2016,N/A,0
IE 444,Interdisciplinary Product Development I,3,28574,LCD,ARRANGED,0,"Scott, M",On Campus,Fall,2016,N/A,0
IE 461,Safety Engineering,3,12782,LCD,05:00 PM - 06:15 PM,2,"Cali, S",On Campus,Fall,2016,Evening,75
IE 461,Safety Engineering,3,20377,LCD,05:00 PM - 06:15 PM,2,"Cali, S",On Campus,Fall,2016,Evening,75
IE 467,Discrete Event Computer Simulation Application,3,12785,LCD,12:30 PM - 01:45 PM,2,"Pan, Y",On Campus,Fall,2016,Afternoon,75
IE 467,Discrete Event Computer Simulation Application,3,20378,LCD,12:30 PM - 01:45 PM,2,"Pan, Y",On Campus,Fall,2016,Afternoon,75
IE 471,Operations Research I,3,12787,LCD,01:00 PM - 01:50 PM,3,"Banerjee, P",On Campus,Fall,2016,Afternoon,50
IE 471,Operations Research I,3,20379,LCD,01:00 PM - 01:50 PM,3,"Banerjee, P",On Campus,Fall,2016,Afternoon,50
IE 473,Stochastic Processes and Queuing Models,3,35388,LCD,02:00 PM - 02:50 PM,3,"Scott, M",On Campus,Fall,2016,Afternoon,50
IE 473,Stochastic Processes and Queuing Models,3,35475,LCD,02:00 PM - 02:50 PM,3,"Scott, M",On Campus,Fall,2016,Afternoon,50
IE 494,Special Topics in Industrial Engineering,3,39098,LCD,02:00 PM - 02:50 PM,3,"Komperda, J",On Campus,Fall,2016,Afternoon,50
IE 494,Special Topics in Industrial Engineering,3,39522,LCD,04:00 PM - 04:50 PM,3,"Darabi, H",On Campus,Fall,2016,Afternoon,50
IE 494,Special Topics in Industrial Engineering,3,39523,LCD,04:00 PM - 04:50 PM,3,"Darabi, H",On Campus,Fall,2016,Afternoon,50
IE 499,Professional Development Seminar,0,27839,LCD,05:00 PM - 05:50 PM,1,"Darabi, H",On Campus,Fall,2016,Evening,50
IE 594,Current Topics in Industrial Engineering,4,38914,LCD,09:30 AM - 10:45 AM,2,"Hu, M",On Campus,Fall,2016,Morning,75
IE 594,Current Topics in Industrial Engineering,4,33082,LCD,02:00 PM - 03:15 PM,2,"Li, L",On Campus,Fall,2016,Afternoon,75
IE 594,Current Topics in Industrial Engineering,4,37436,LCD,03:30 PM - 04:45 PM,2,"Darabi, H",On Campus,Fall,2016,Afternoon,75
IE 594,Current Topics in Industrial Engineering,4,40498,LCD,05:00 PM - 07:45 PM,1,"Sharabiani, A",On Campus,Fall,2016,Evening,165
IE 594,Current Topics in Industrial Engineering,4,40659,LCD,05:00 PM - 07:45 PM,1,"Sharabiani, A",On Campus,Fall,2016,Evening,165
IE 201,Financial Engineering,3,16559,LCD,11:00 AM - 11:50 AM,3,"Darabi, H",On Campus,Spring,2017,Morning,50
IE 312,Dynamic Systems and Control,3,35720,LCD,05:00 PM - 06:15 PM,2,"Shabana, A",On Campus,Spring,2017,Evening,75
IE 342,Probability and Statistics for Engineers,3,29781,LCD,01:00 PM - 01:50 PM,3,"He, D",On Campus,Spring,2017,Afternoon,50
IE 345,Regression Applications and Forecasting in Engineering,3,23213,LCD,10:00 AM - 10:50 AM,3,"Hu, M",On Campus,Spring,2017,Morning,50
IE 380,Manufacturing Process Principles,3,16571,LCD,09:00 AM - 09:50 AM,3,"Abiade, J",On Campus,Spring,2017,Morning,50
IE 397,Senior Design Il,2,37340,LCD,ARRANGED,0,"Brown, M",On Campus,Spring,2017,N/A,0
IE 397,Senior Design Il,2,38074,LCD,ARRANGED,0,"Brown, M",On Campus,Spring,2017,N/A,0
IE 397,Senior Design Il,2,36816,LCD,ARRANGED,0,"Komperda, J",On Campus,Spring,2017,N/A,0
