Course Code,Course Title,Credits,CRN,Section Type,Time,Days per Week,Instructor,Method,Semester,Year,Time of Day,Duration of Class (minutes)
CS 450,Introduction to Networking,4,19163,LEC,11:00 AM - 12:15 PM,2,"Kshemkalyani, A",Meet on campus,Spring,2023,Morning,75
CS 454,Principles of Concurrent Programming,4,45709,LCD,04:30 PM - 05:45 PM,2,"Grechanik, M",Meet on campus,Spring,2023,Afternoon,75
CS 454,Principles of Concurrent Programming,4,45710,LCD,04:30 PM - 05:45 PM,2,"Grechanik, M",Meet on campus,Spring,2023,Afternoon,75
CS 461,Operating Systems Design and Implementation,4,44394,LCD,03:00 PM - 04:15 PM,2,"Solworth, J",On Campus,Spring,2023,Afternoon,75
CS 461,Operating Systems Design and Implementation,4,44395,LCD,03:00 PM - 04:15 PM,2,"Solworth, J",On Campus,Spring,2023,Afternoon,75
CS 466,Computer Architecture,4,26694,LCD,09:30 AM - 10:45 AM,2,"Zhu, Z",Meet on campus,Spring,2023,Morning,75
CS 466,Computer Architecture,4,26695,LCD,09:30 AM - 10:45 AM,2,"Zhu, Z",Meet on campus,Spring,2023,Morning,75
CS 474,Object-Oriented Languages and Environments,4,38616,LCD,12:30 PM - 01:45 PM,2,"Mansky, W",Meet on campus,Spring,2023,Afternoon,75
CS 474,Object-Oriented Languages and Environments,4,38617,LCD,12:30 PM - 01:45 PM,2,"Mansky, W",Meet on campus,Spring,2023,Afternoon,75
CS 477,"Public Policy, Legal, and Ethical Issues in Computing, Privacy, and Security",4,37123,LCD,02:00 PM - 03:15 PM,2,"Sloan, R",Meet on campus,Spring,2023,Afternoon,75
CS 477,"Public Policy, Legal, and Ethical Issues in Computing, Privacy, and Security",4,37124,LCD,02:00 PM - 03:15 PM,2,"Sloan, R",Meet on campus,Spring,2023,Afternoon,75
CS 478,Software Development for Mobile Platforms,4,37633,LCD,03:30 PM - 04:45 PM,2,"Buy, U",Meet on campus,Spring,2023,Afternoon,75
CS 478,Software Development for Mobile Platforms,4,37634,LCD,03:30 PM - 04:45 PM,2,"Buy, U",Meet on campus,Spring,2023,Afternoon,75
CS 480,Database Systems,4,17438,LCD,11:00 AM - 12:15 PM,2,"Riazi, S",Meet on campus,Spring,2023,Morning,75
CS 480,Database Systems,4,19171,LCD,11:00 AM - 12:15 PM,2,"Riazi, S",Meet on campus,Spring,2023,Morning,75
CS 480,Database Systems,4,43454,LCD,11:00 AM - 12:15 PM,2,"Riazi, S",On campus and online,Spring,2023,Morning,75
CS 480,Database Systems,4,43455,LCD,11:00 AM - 12:15 PM,2,"Riazi, S",On campus and online,Spring,2023,Morning,75
CS 483,Big Data Mining,4,46684,LCD,05:00 PM - 06:15 PM,2,"Cheng, L",Meet on campus,Spring,2023,Evening,75
CS 483,Big Data Mining,4,46685,LCD,05:00 PM - 06:15 PM,2,"Cheng, L",Meet on campus,Spring,2023,Evening,75
CS 491,Seminar,4,38500,LCD,ARRANGED,0,"Di Eugenio, B",Meet online at set times,Spring,2023,N/A,0
CS 494,Special Topics in Computer Science,4,42278,LCD,02:00 PM - 03:15 PM,2,"Papka, M",Meet on campus,Spring,2023,Afternoon,75
CS 494,Special Topics in Computer Science,4,42289,LCD,02:00 PM - 03:15 PM,2,"Papka, M",Meet on campus,Spring,2023,Afternoon,75
CS 499,Professional Development Seminar,0,30640,LCD,ARRANGED,0,"Bell, J",Online with deadlines,Spring,2023,N/A,0
CS 501,Computer Algorithms II,4,33788,LCD,09:00 AM - 09:50 AM,3,"Turan, G",Meet on campus,Spring,2023,Morning,50
CS 511,Artificial Intelligence II,4,17442,LCD,10:00 AM - 10:50 AM,3,"Gmytrasiewicz, P",Meet on campus,Spring,2023,Morning,50
CS 518,Deep Learning for Computer Vision,4,45598,LEC,03:00 PM - 04:15 PM,2,"Tang, W",Meet on campus,Spring,2023,Afternoon,75
CS 521,Statistical Natural Language Processing,4,43232,LCD,09:30 AM - 10:45 AM,2,"Parde, N",Meet on campus,Spring,2023,Morning,75
CS 524,Visualization and Visual Analytics II,4,32362,LCD,09:30 AM - 10:45 AM,2,"Miranda, F",Meet on campus,Spring,2023,Morning,75
CS 540,Advanced Topics in Software Engineering,4,37332,LCD,02:00 PM - 03:15 PM,2,"Buy, U",Meet on campus,Spring,2023,Afternoon,75
CS 566,Parallel Processing,4,33563,LCD,12:30 PM - 01:45 PM,2,"Dutt, S",Meet on campus,Spring,2023,Afternoon,75
CS 569,High-Performance Processors and Systems,4,27021,LCD,11:00 AM - 12:15 PM,2,"Zhu, Z",Meet on campus,Spring,2023,Morning,75
CS 583,Data Mining and Text Mining,4,25479,LCD,06:00 PM - 08:40 PM,1,"Liu, B",Meet on campus,Spring,2023,Evening,160
